,GENRE,authorKorean,authorEnglish,workTitle,translator,sourceTitle,publisher,yearCreated,authorEnglish2
11,Fiction,강경애,Kang Kyŏng-ae,The Underground Village,Suh Ji-Moon,The Rainy Spell And Other Korean Stories,M.E. Sharpe,1998.0,Kang Kyong ae/Kang Kyong-ae/Kang Kyŏng-ae
12,Fiction,강석경,Kang Sok-kyong,A Human Affection,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
13,Fiction,강석경,Kang Sok-kyong,A Morning Road,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
14,Fiction,강석경,Kang Sok-kyong,A Passing Storm,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
15,Fiction,강석경,Kang Sŏk-kyŏng,A Room In The Woods,"Bruce Fulton, Ju-Chan Fulton",Words Of Farewell: Stories By Korean Women Writers,Seal Press,1989.0,Kang Sok kyong/Kang Sok-kyong/Kang Sŏk-kyŏng
16,Fiction,강석경,Kang Sŏk-kyŏng,Days And Dreams,"Bruce Fulton, Ju-Chan Fulton",Words Of Farewell: Stories By Korean Women Writers,Seal Press,1989.0,Kang Sok kyong/Kang Sok-kyong/Kang Sŏk-kyŏng
17,Fiction,강석경,Kang Sok-kyong,Every Flower Has Its Own Seeds,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
18,Fiction,강석경,Kang Sok-kyong,The Land Of Survival,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
19,Fiction,강석경,Kang Sok-kyong,The Rainy Season,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
20,Fiction,강석경,Kang Sok-kyong,The Root Drifting In The Sky,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
21,Fiction,강석경,Kang Sok-kyong,The Stream Thawed,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
22,Fiction,강석경,Kang Sok-kyong,The Valley Nearby,Choe Kyong-Do,The Valley Nearby,Heinemann,1997.0,Kang Sok kyong/Kang Sok-kyong
23,Fiction,강신재,Kang Shin-Jae, ,Sol Soon-Bong,The Dandelion On The Imjin River,Dong-Suh Munhaksa,1990.0,Kang Shin Jae/Kang Shin-Jae
24,Fiction,강신재,Kang Shin-Jae, ,Tina L. Sallee,The Waves,Kegan Paul International,1989.0,Kang Shin Jae/Kang Shin-Jae
25,Fiction,강신재,Kang Sin-jea,Another Eve,Kim Se-Yong,Hospital Room 205 And Other Korean Short Stories,Si-sa-yong-o-sa,1983.0,Kang Sin jea/Kang Sin-jea
26,Fiction,강신재,Kang Sin-jae,Nursery Tale For A Dreary Day,Marshall R. Pih,Hospital Room 205 And Other Korean Short Stories,Si-sa-yong-o-sa,1983.0,Kang Sin jae/Kang Sin-jae
27,Fiction,강신재,Kang Sin-jae,The Mist (1950),Kim Yung-Hee,Questioning Minds: Short Stories By Modern Korean Women Writers,University of Hawaii Press,2010.0,Kang Sin jae/Kang Sin-jae
28,Fiction,강신재,Kang Shinjae,The Young Elm Tree,Jin-Young Choi,Unspoken Voices,Homa & Sekey,2002.0,Kang Shinjae
29,Fiction,강신재,Kang Sinjae,The Young Zelkova,Song Yoin,Flowers Of Fire: Twentieth-Century Korean Stories,The University Press of Hawaii,1974.0,Kang Sinjae
30,Fiction,강신재,Kang Shin-jae,The Young Zelkova Tree,Shin Hyun-Song,Modern Korean Literature: An Anthology 1908-1965,Kegan Paul International,1995.0,Kang Shin jae/Kang Shin-jae
31,Fiction,강신재,Kang Shin-jae,The Young Zelkova Tree,Shin Hyun Song,Modern Short Stories From Korea,Heinemann Educational Books,1980.0,Kang Shin jae/Kang Shin-jae
32,Fiction,강영숙,Kang Young-sook, ,Teresa Lee,Brown Tears,Literature Translation Institute of Korea*,2008.0,Kang Young sook/Kang Young-sook
33,Fiction,강용준,Kang Yong-jun, ,Kim Seong-Kon,Their Share Of Life,Dong-Suh Munhaksa,1988.0,Kang Yong jun/Kang Yong-jun
34,Fiction,강용준,Kang Yong-jun,Their Share Of Life,Kim Seong-Kon,Anthology Of Korean Literary,Dong-Suh Munhaksa,1988.0,Kang Yong jun/Kang Yong-jun
